,trial_id,state,value,datetime_start,datetime_complete,params,params,params,params,params,params,params,params,params,params,params,params,params,params
,,,,,,boosting,colsample_bytree,drop_rate,max_depth,min_child_weight,min_data_in_leaf,min_split_gain,num_leaves,other_rate,reg_alpha,reg_lambda,skip_drop,subsample,top_rate
0,0,TrialState.COMPLETE,3.7174919859959545,2019-02-09 13:22:54.469716,2019-02-09 13:23:31.751415,goss,0.33924197251580296,,13,32.71500334746448,32,8.731738789086094,50,0.39587163901714617,14.879455982212832,18.82828484932744,,0.7269274028490376,0.5152456469844681
1,1,TrialState.COMPLETE,3.6557485177792395,2019-02-09 13:23:31.751671,2019-02-09 13:26:27.987679,goss,0.33695542689286934,,18,63.44918940053411,44,6.432913256510315,93,0.015219321942931801,13.048315586627178,8.993399035546839,,0.9284148528335734,0.9740297040189461
2,2,TrialState.COMPLETE,3.7145904558090437,2019-02-09 13:26:27.988014,2019-02-09 13:26:59.018016,goss,0.2786148404528929,,8,27.82131524770159,34,8.258183887164279,71,0.10868162232674117,12.64081431665125,23.698536077293298,,0.8606664143474195,0.5871939762067679
3,3,TrialState.COMPLETE,3.6655925594318752,2019-02-09 13:26:59.018431,2019-02-09 13:28:12.865623,goss,0.6775728121532043,,5,53.62754169196367,17,6.636612052982746,90,0.36828197432583665,20.70005687390394,7.5161978993322105,,0.8760070873490979,0.5913633901473474
4,4,TrialState.COMPLETE,3.6576718578568497,2019-02-09 13:28:12.866105,2019-02-09 13:29:38.021164,gbdt,0.9276251667613624,,20,40.55014349903235,27,12.451526023538477,25,,9.477858291836096,18.89770953807143,,0.943723383594359,0.822894232651185
5,5,TrialState.COMPLETE,3.6547642254317125,2019-02-09 13:29:38.021719,2019-02-09 13:32:25.468191,gbdt,0.6070709702034943,,20,41.7665533951046,22,13.03997188108682,82,,22.711051534263543,14.44640424796715,,0.5583561248978435,0.9484301208221397
6,6,TrialState.COMPLETE,3.652332486653684,2019-02-09 13:32:25.468811,2019-02-09 13:34:08.717940,gbdt,0.5026401278117729,,7,40.34673471088985,46,10.626788119130275,38,,15.031359714142734,8.78617944222966,,0.8320520063671808,0.6912991181624193
7,7,TrialState.COMPLETE,3.6517996366357837,2019-02-09 13:34:08.718627,2019-02-09 13:36:05.154631,gbdt,0.46775559064479233,,8,37.88433942552861,18,14.603164666580978,44,,15.236665829450551,16.791931917470837,,0.574273554170846,0.6924708799790757
8,8,TrialState.COMPLETE,3.825960343765769,2019-02-09 13:36:05.155401,2019-02-09 13:37:04.185787,dart,0.6956858719028737,0.09213249040565663,10,52.45195737411052,37,8.77295598692005,53,,17.68797194777747,17.84804886516263,2.5963157481480027e-07,0.8172680433055171,0.6256502640527485
9,9,TrialState.COMPLETE,3.652592058878721,2019-02-09 13:37:04.186631,2019-02-09 13:40:28.903519,gbdt,0.7462397069902176,,11,40.10815824314179,20,6.482365778457528,80,,22.64453612901693,23.094065306691935,,0.9818907303889464,0.9654284184680821
10,10,TrialState.COMPLETE,3.6840943295580404,2019-02-09 13:40:28.904532,2019-02-09 13:41:31.409928,dart,0.4689363481001149,0.0033694761179976504,15,72.61735759049658,25,14.488254265590742,39,,6.998509173941649,13.578897304107416,5.48652218653561e-05,0.6656977131031871,0.8102402027727492
11,11,TrialState.COMPLETE,3.6541752859650423,2019-02-09 13:41:31.410938,2019-02-09 13:43:07.022826,gbdt,0.478192783352118,,5,58.810854738605286,16,14.871427993379113,20,,5.323459448176088,12.102665022896714,,0.6324814761360944,0.7445133644994273
12,12,TrialState.COMPLETE,3.8418398463850076,2019-02-09 13:43:07.023931,2019-02-09 13:44:50.393590,dart,0.7823824506280583,0.2491924478372745,24,31.744366608344315,16,11.222931833456718,66,,18.983837106595537,5.23231656020346,0.009083048388519614,0.5018921434583953,0.8681972275085342
13,13,TrialState.COMPLETE,3.654247234701537,2019-02-09 13:44:50.394780,2019-02-09 13:47:05.850629,gbdt,0.8400699179088493,,16,65.40069357111007,27,13.11173943728322,37,,10.682663419555297,24.909903747896067,,0.5665575763407013,0.6913256839693684
14,14,TrialState.COMPLETE,3.6524920208542517,2019-02-09 13:47:05.851902,2019-02-09 13:49:30.710574,gbdt,0.5594908548956168,,12,47.56297606027061,22,14.905547961610488,61,,24.489305266560756,20.931730218895016,,0.5718924874711033,0.6641257876168085
15,15,TrialState.COMPLETE,3.652206446817246,2019-02-09 13:49:30.711922,2019-02-09 13:51:18.156665,gbdt,0.3907901159114863,,8,26.169710330627566,40,11.806511428039036,26,,7.748291754117549,11.804095552944446,,0.7350667332981505,0.7534264486460407
16,16,TrialState.COMPLETE,3.6531168706201775,2019-02-09 13:51:18.158101,2019-02-09 13:53:00.494365,dart,0.40634835634619826,1.6389939600866505e-08,5,46.08313056718221,28,9.860949009822578,50,,17.10226677660061,17.14885105065951,5.647004395623167e-08,0.6530069069057264,0.5012360752473406
17,17,TrialState.COMPLETE,3.6521512947744283,2019-02-09 13:53:00.495902,2019-02-09 13:54:43.081535,gbdt,0.3626161455453688,,8,25.633159541652674,38,13.984047854558362,27,,7.859010021914344,11.221009472930673,,0.7432210033558341,0.7607301094685759
18,18,TrialState.COMPLETE,3.651898275359108,2019-02-09 13:54:43.083125,2019-02-09 13:56:17.741415,gbdt,0.29306548313933195,,8,33.64178997443287,39,13.601368254034885,32,,9.926157599683668,11.292237826343097,,0.7761467309210538,0.9053037904213032
